#,Ticker,Company,Mkt Cap ($B),Category,Rationale,Include? (Y/N),Notes
1,NKE,Nike Inc.,65.0,Footwear / Apparel,Nike Direct (DTC) ~44% of revenue via NIKE.com and owned stores,,
2,TPR,Tapestry Inc.,30.5,Luxury Accessories,"Coach, Kate Spade — DTC e-commerce is major growth channel",,
3,AS,Amer Sports Inc.,20.5,Sporting Goods,"Arc'teryx, Salomon parent; DTC is fastest-growing channel",,
4,RL,Ralph Lauren Corp.,20.5,Apparel / Luxury,DTC ~65% of total revenue; digital commerce is strategic priority,,
5,LULU,Lululemon Athletica,19.5,Activewear,E-commerce ~40%+ of revenue; digitally engaged community,,
6,DECK,Deckers Outdoor Corp.,16.0,Footwear,"HOKA and UGG parent; DTC e-commerce ~40% of revenue",,
7,ONON,On Holding AG,11.5,Footwear / Activewear,Digitally native running brand; DTC ~38% of revenue,,
8,CHWY,Chewy Inc.,10.5,Pet,Pure-play DTC e-commerce pet retailer; 100% online,,
9,CELH,Celsius Holdings,9.5,Food & Bev,DTC-first energy drink brand with strong e-commerce presence,,
10,W,Wayfair Inc.,9.3,Home / Furniture,Pure-play online home goods retailer; virtually all revenue e-commerce,,
11,BROS,Dutch Bros Inc.,8.9,Food & Bev,Digitally native coffee brand; mobile-app-driven loyalty and ordering,,
12,BIRK,Birkenstock Holding,7.0,Footwear,Growing DTC e-commerce channel (~30% of revenue),,
13,WING,Wingstop Inc.,5.5,Food & Bev,~90% digital sales mix; industry-leading digital-native restaurant,,
14,CROX,Crocs Inc.,4.5,Footwear,DTC e-commerce is key growth channel; digital ~35% of revenue,,
15,ANF,Abercrombie & Fitch,4.5,Apparel,Digital-first transformation; e-commerce ~50% of revenue,,
16,HIMS,Hims & Hers Health,4.4,Health & Wellness,Pure-play DTC telehealth/wellness; 100% online subscription,,
17,ELF,e.l.f. Beauty Inc.,4.2,Beauty,Digitally native affordable beauty; strong DTC and social commerce,,
18,PVH,PVH Corp.,4.0,Apparel,"Calvin Klein, Tommy Hilfiger parent; DTC digital is growth priority",,
19,BBWI,Bath & Body Works,3.7,Beauty / Personal Care,Strong DTC e-commerce; digital ~30%+ of revenue,,
20,VSCO,Victoria's Secret & Co.,3.7,Apparel / Intimates,Significant DTC e-commerce; digital ~35% of revenue,,
21,KTB,Kontoor Brands,3.7,Apparel,"Wrangler, Lee parent; growing DTC digital channels",,
22,FRPT,Freshpet Inc.,3.4,Pet / Food,DTC-oriented fresh pet food brand,,
23,YETI,YETI Holdings,3.0,Outdoor / Lifestyle,DTC e-commerce ~55%+ of revenue; digitally native lifestyle brand,,
24,COLM,Columbia Sportswear,3.0,Apparel / Outdoor,"Growing DTC across Columbia, prAna, SOREL",,
25,COCO,The Vita Coco Company,2.8,Food & Bev,Digitally native beverage brand; strong DTC and social commerce,,
26,WRBY,Warby Parker Inc.,2.6,Eyewear,Pioneer digitally native DTC brand; online-first eyewear,,
27,UAA,Under Armour Inc.,2.6,Activewear,DTC e-commerce is major revenue channel; digital transformation focus,,
28,CPRI,Capri Holdings,2.6,Luxury Accessories,"Michael Kors, Jimmy Choo parent; DTC is primary channel",,
29,SHOO,Steven Madden Ltd.,2.4,Footwear,Growing DTC e-commerce; digital increasing share,,
30,FIGS,FIGS Inc.,2.3,Apparel / Healthcare,Digitally native DTC for healthcare pros; ~85% DTC revenue,,
31,HBI,Hanesbrands Inc.,2.3,Apparel / Basics,Major DTC e-commerce; owns Champion with strong online presence,,
32,PTON,Peloton Interactive,2.0,Fitness / Connected,Digitally native connected fitness; subscription + hardware DTC,,
33,SONO,Sonos Inc.,2.0,Consumer Electronics,DTC e-commerce growing channel; premium audio direct sales,,
34,RVLV,Revolve Group Inc.,1.8,Apparel / Fashion,Pure-play online fashion retailer; 100% e-commerce,,
35,OLPX,Olaplex Holdings,1.4,Beauty / Haircare,DTC is key channel; digitally native prestige haircare,,
36,WWW,Wolverine World Wide,1.3,Footwear,"Merrell, Sweaty Betty parent; growing DTC e-commerce",,
37,GIII,G-III Apparel Group,1.3,Apparel,"DKNY, Karl Lagerfeld parent; expanding DTC digital",,
38,CRI,Carter's Inc.,1.3,Apparel / Children's,Leading children's apparel; growing DTC e-commerce,,
39,GOOS,Canada Goose,1.1,Apparel / Outerwear,Premium outerwear; DTC ~70% of revenue including e-commerce,,
40,ODD,Oddity Tech Ltd.,0.78,Beauty / DTC Tech,"Digitally native (IL MAKIAGE, SpoiledChild); 100% online",,
41,REAL,The RealReal Inc.,1.2,Luxury Resale,Digitally native online luxury consignment; primarily e-commerce,,
42,TDUP,ThredUp Inc.,0.45,Apparel Resale,Pure-play online secondhand fashion; 100% e-commerce,,
43,SFIX,Stitch Fix Inc.,0.44,Apparel / Styling,Digitally native online personal styling; 100% e-commerce,,
44,HNST,The Honest Company,0.34,Baby / Personal Care,"Digitally native DTC; baby, beauty, household products",,
45,XPOF,Xponential Fitness,0.28,Fitness,Digitally enabled fitness platform; digital booking and subscription,,
46,LOVE,The Lovesac Company,0.22,Home / Furniture,DTC-first modular furniture; strong e-commerce and showroom,,
47,DIBS,1stDibs.Com Inc.,0.21,Luxury Marketplace,"Pure-play online marketplace for luxury furniture, art, design",,
48,RENT,Rent the Runway,0.19,Apparel / Rental,Digitally native fashion rental platform; 100% online subscription,,
